id,idade_ingresso,ano_ingresso,tempo_entre_conclusao_em_ingresso,carga_horaria,forma_ingresso,curso,ano_conclusao,situacao_matricula
4747,24,2019,7,3660,Vestibular,Engenharia de Produção,0,Matriculado
4748,20,2021,2,3660,SISU,Engenharia de Produção,0,Matriculado
4753,21,2019,3,3600,SISU,Engenharia Mecânica,0,Evadido
4754,19,2021,1,3310,SISU,Física,0,Evadido
4758,28,2021,9,3660,Vestibular,Engenharia de Produção,0,Matriculado
4760,23,2020,6,3600,SISU,Engenharia Mecânica,0,Evadido
4761,18,2018,1,3660,SISU,Engenharia de Produção,2022,Formado
4763,20,2019,1,2850,SISU,Física,0,Matriculado
4764,27,2021,8,3310,Vestibular,Física,0,Matriculado
4765,24,2019,7,2850,SISU,Física,0,Matriculado
4767,25,2020,5,3310,SISU,Física,0,Matriculado
4768,28,2020,11,3660,Obtenção de novo título,Engenharia de Produção,0,Evadido
4770,27,2019,10,3660,SISU,Engenharia de Produção,0,Evadido
4771,22,2020,4,4073,Vestibular,Letras,0,Matriculado
4773,22,2022,4,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4774,26,2021,9,3660,SISU,Engenharia de Produção,0,Matriculado
4775,23,2018,6,3660,Transferência externa,Engenharia de Produção,0,Matriculado
4776,20,2019,2,4073,SISU,Letras,0,Matriculado
4777,20,2021,2,4073,Vestibular,Letras,0,Matriculado
4778,19,2020,1,3660,SISU,Engenharia de Produção,0,Evadido
4780,19,2018,1,2850,Vestibular,Física,2022,Formado
4782,20,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
4783,23,2019,4,3600,Vestibular,Engenharia Mecânica,0,Evadido
4784,19,2018,2,3660,SISU,Engenharia de Produção,0,Evadido
4785,24,2018,2,3660,Vestibular,Engenharia de Produção,0,Evadido
4788,23,2022,5,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4789,20,2018,3,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4792,31,2020,13,3600,Obtenção de novo título,Engenharia Mecânica,0,Evadido
4793,27,2018,7,3660,Transferência externa,Engenharia de Produção,0,Evadido
4799,20,2018,3,3660,SISU,Engenharia de Produção,2022,Formado
4801,19,2018,1,2850,SISU,Física,2020,Formado
4802,22,2020,4,3310,SISU,Física,0,Evadido
4803,20,2018,3,3660,Vestibular,Engenharia de Produção,0,Matriculado
4806,26,2022,8,3310,Vestibular,Física,0,Evadido
4807,27,2021,10,3600,Vestibular,Engenharia Mecânica,0,Evadido
4808,32,2021,14,3660,Vestibular,Engenharia de Produção,0,Matriculado
4810,22,2022,5,3310,Vestibular,Física,0,Evadido
4811,21,2020,4,3660,Vestibular,Engenharia de Produção,0,Matriculado
4812,18,2019,1,4073,Vestibular,Letras,0,Matriculado
4813,19,2021,0,4073,SISU,Letras,0,Matriculado
4814,19,2020,1,4073,SISU,Letras,0,Evadido
4816,28,2021,8,4073,Vestibular,Letras,0,Matriculado
4817,21,2021,3,4073,SISU,Letras,0,Matriculado
4818,29,2020,12,3660,Obtenção de novo título,Engenharia de Produção,0,Evadido
4819,21,2021,2,3660,SISU,Engenharia de Produção,0,Evadido
4820,19,2018,1,2850,SISU,Física,0,Evadido
4822,24,2021,6,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4824,43,2021,11,3600,SISU,Engenharia Mecânica,0,Evadido
4826,21,2021,3,3600,Transferência externa,Engenharia Mecânica,0,Evadido
4827,55,2022,23,4073,SISU,Letras,0,Matriculado
4830,19,2020,2,4073,SISU,Letras,0,Matriculado
4831,20,2022,1,3600,Transferência externa,Engenharia Mecânica,0,Matriculado
4832,20,2020,3,4073,SISU,Letras,0,Matriculado
4835,18,2018,1,2850,SISU,Física,0,Evadido
