id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
9151,N,7,M,Parda
9153,N,9,M,Parda
9161,N,5,M,Preta
9165,S,7,M,Parda
9178,S,3,M,Branca
9181,S,3,F,Parda
9187,N,7,F,Branca
9195,N,9,M,Parda
9203,N,5,F,Parda
9206,S,9,F,Parda
9208,N,9,M,Parda
9212,N,7,M,Parda
9215,N,5,F,Parda
9219,S,2,F,Parda
9222,S,3,M,Parda
9226,N,7,F,Parda
9230,S,1,M,Parda
9233,N,5,M,Parda
9236,N,4,F,Parda
9239,N,2,F,Branca
9241,N,2,M,Parda
9255,N,1,M,Parda
9265,N,8,M,Parda
9273,S,4,F,Parda
9276,N,2,M,Parda
9292,S,2,M,Parda
9293,N,7,M,Branca
9356,N,8,M,Parda
9367,N,1,F,Parda
9369,N,3,M,Branca
9389,S,8,M,Parda
9390,S,8,M,Parda
9402,N,1,M,Parda
9411,N,4,F,Parda
9425,S,3,F,Preta
9447,N,8,F,Branca
9464,S,6,F,Parda
9473,S,8,M,Branca
9504,S,1,F,Branca
9519,N,8,M,Parda
9528,N,4,M,Parda
9530,S,6,M,Parda
9534,N,8,F,Parda
9550,N,8,M,Branca
9566,N,1,F,Branca
9567,N,6,F,Parda
9573,N,7,F,Parda
9574,N,1,F,Parda
9581,N,5,F,Branca
9595,N,8,F,Parda
9598,S,8,F,Parda
9602,S,9,F,Parda
9613,S,2,M,Parda
9618,N,9,M,Parda
9624,N,1,F,Branca
9625,N,8,M,Parda
9626,N,3,M,Parda
9627,N,1,M,Parda
9628,N,8,M,Parda
9646,N,4,F,Parda
9652,N,4,F,Parda
9670,N,8,M,Parda
9672,N,2,M,Parda
9673,N,1,M,Parda
9678,N,1,M,Branca
9695,N,9,M,Parda
9702,N,4,F,Parda
9703,N,3,F,Parda
9704,S,3,F,Parda
9705,S,5,F,Parda
9719,N,2,M,Parda
9724,N,8,F,Parda
9725,N,2,F,Parda
9727,N,8,F,Parda
9728,N,7,F,Branca
9729,N,3,F,Branca
9742,N,6,M,Parda
9746,N,3,M,Branca
9749,N,8,M,Branca
9766,N,2,M,Preta
9767,S,10,F,Parda
9768,N,7,F,Parda
9785,N,10,M,Parda
9789,N,4,M,Parda
9810,N,3,F,Preta
9811,N,3,M,Preta
9813,S,4,F,Parda
9821,N,2,F,Parda
